Date,"Daily minimum temperatures in Melbourne, Australia, 1981-1990"
1/1/1981,20.8
1/1/1981,20.9
1/1/1981,20.7
1/2/1981,17.9
1/3/1981,18.8
1/4/1981,14.6
1/5/1981,15.8
1/6/1981,15.8
1/7/1981,15.8
1/8/1981,17.4
1/9/1981,21.8
1/10/1981,20
1/11/1981,16.2
1/12/1981,13.3
1/13/1981,16.7
1/14/1981,21.5
1/15/1981,25
1/16/1981,20.7
1/17/1981,20.6
1/18/1981,24.8
1/19/1981,17.7
1/20/1981,1
1/21/1981,2
1/22/1981,3
1/23/1981,4
1/24/1981,5
1/25/1981,6
1/26/1981,7
1/27/1981,8
1/28/1981,9
1/29/1981,10
1/30/1981,11
1/31/1981,12
2/1/1981,13
2/2/1981,14
2/3/1981,15
